"","diff_scores.commute_score","diff_scores.age_score","diff_scores.ethnicity_score","diff_scores.Edscore","diff_scores.Tutoring","diff_scores.Spanish","diff_scores.Math","diff_scores.Gender","diff_scores.AA","diff_scores.aggr_score"
"1",28.8231884057971,27.5051258142663,330.975584491717,27.9282044348296,9.34451054624121,10000000055.5389,67.7585181179016,20.0995733429481,0,10000000567.9736
"2",27.1804347826087,5.7367039140503,333.837985688804,21.0754912565351,9.34451054624121,10000000062.2253,91.8515413737155,29.4794183041885,0,10000000580.7314
"3",32.2833333333333,9.87818460519751,334.941421076741,21.8274292410312,9.34451054624121,10000000043.9898,98.9910762574365,26.2158524127156,0,10000000577.4716
"4",28.145652173913,7.47438299024953,339.32029869798,21.8196773030467,9.34451054624121,10000000037.525,87.5259599783667,36.1615888468241,0,10000000567.3171
"5",29.9445652173913,14.1462316020875,328.814426376994,22.3235532720389,9.34451054624121,10000000056.8831,104.01433207139,27.6422090018629,0,10000000593.1129
"6",28.5260869565217,31.2775860711975,324.435754046989,20.7964214890932,9.34451054624121,10000000041.9736,100.01433207139,23.7042245057388,0,10000000580.0725
"7",31.1579710144928,5.52706075191761,341.157498903482,22.0134757526591,9.34451054624121,10000000065.7688,65.3399134667388,16.7274803196923,0,10000000557.0367
"8",28.0746376811594,11.9580673728856,336.200236162484,25.9747160627366,9.34451054624121,10000000048.6509,75.7120064899946,36.1073252809326,0,10000000572.0224
"9",29.9608695652174,65.0778459244496,304.663702164463,24.2537858301785,9.34451054624121,10000000048.7737,79.6887506760411,28.7352322576768,0,10000000590.4984
"10",28.5369565217391,4.33593392410915,338.01284286778,33.0289796286281,9.34451054624121,10000000067.0377,56.2701460248783,19.5879454359714,0,10000000556.155
"11",28.6101449275362,20.6057892636625,333.013751090092,22.6103749774653,9.34451054624121,10000000049.9994,74.9910762574365,23.0763175289947,0,10000000562.2513
"12",29.6449275362319,19.1254534731862,331.357188129882,16.5716152875428,9.34451054624121,10000000057.4157,72.4096809085993,20.0453097770567,0,10000000555.9143
"13",29.1210144927536,42.4294687829319,322.515736770632,20.9359563728141,9.34451054624121,10000000043.4028,77.967820443483,28.1615888468241,0,10000000573.8789
"14",31.0094202898551,6.629319455041,331.098161746029,20.0134757526591,9.34451054624121,10000000044.2727,97.2468902109248,33.363139234421,0,10000000572.9776
"15",29.3239130434783,8.38096034329182,331.634279056619,19.0832431945196,9.34451054624121,10000000055.0915,61.3631692806923,28.9057748933357,0,10000000543.1273
"16",28.1666666666667,15.3021184216849,337.183687605935,25.5018478456824,9.34451054624121,10000000056.6317,81.9445646295295,37.1925965987621,0,10000000591.2676
"17",29.5623188405797,6.53106753527238,340.412176869284,22.3933207138994,9.34451054624121,10000000049.0049,109.54921579232,21.4174028003125,0,10000000588.2149
"18",28.9355072463768,10.0404245103209,335.278362028734,18.6258788534343,9.34451054624121,10000000048.2826,105.200378583018,17.471666366204,0,10000000573.1793
"19",28.7076086956522,14.1606728739917,338.82724489814,26.122002884442,9.34451054624121,10000000056.0116,74.9445646295295,24.2701159786071,0,10000000572.3883
"20",28.2771739130435,40.2088238271237,345.914637164497,18.3545610239769,9.34451054624121,10000000037.2632,90.01433207139,19.4174028003125,0,10000000588.7947
"21",28.5684782608696,4.55927969764606,320.869332582714,14.9437083107986,9.34451054624121,10000000047.3668,111.828285559762,32.7894958235683,0,10000000570.2699
"22",27.7811594202899,10.3914130444563,339.040110774797,23.230530016225,9.34451054624121,10000000058.7791,63.8515413737155,24.0453097770567,0,10000000556.4637
"23",30.675,5.31017401040366,340.742823295587,20.8661889309537,9.34451054624121,10000000049.5131,98.7585181179016,15.1848446607776,0,10000000570.3952
"24",29.2851449275362,20.0391768945111,333.493476986963,19.8584369929692,9.34451054624121,10000000054.3514,92.8515413737155,27.2468601646536,0,10000000586.4706
"25",28.9239130434783,17.8803228693002,312.805793823068,21.5793672255273,9.34451054624121,10000000058.1916,117.525959978367,15.8127516375218,0,10000000582.0642
"26",27.4416666666667,26.6436329955316,325.903183583719,19.9669641247521,9.34451054624121,10000000050.1888,96.5259599783667,25.5336818700799,0,10000000581.5484
"27",29.9666666666667,0.687692054814897,331.807954701623,18.6491346673878,9.34451054624121,10000000054.4904,82.2934018388318,16.37864311039,0,10000000543.6184
"28",29.4210144927536,26.5950868456327,331.031277424026,20.3313052100234,9.34451054624121,10000000065.7546,73.2236343969713,26.3863950483745,0,10000000582.0878
"29",29.8934782608696,13.9676614809548,331.052902545099,17.9902199387056,9.34451054624121,10000000067.1986,79.1538669551109,31.9910462111652,0,10000000580.5923
"30",29.9615942028985,7.11423658849388,340.927277682385,19.7886695511087,9.34451054624121,10000000053.7437,98.6654948620876,23.1305810948861,0,10000000582.676
"31",29.2402173913043,7.19742916510467,339.582247369171,25.3778168379304,9.34451054624121,10000000051.9175,62.3864250946458,24.3863950483745,0,10000000549.4326
"32",30.6996376811594,22.1016630646136,331.474977259873,16.8119253650622,9.34451054624121,10000000060.3077,84.2236343969713,17.1305810948861,0,10000000572.0947
