"","School","placement","HS_Grads","SomeCol","Tutoring","Spanish","OtherLang","MathAble","Males","Gender.Other","Hispanic.Latino","Asian.PI","White","Black","AvgCommute","size","span","% Hispanic","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt"
"1","107th Street Elementary School",1,0,0,0,1,0,4,2,0,3,0,0,3,1.96363636363636,"11","Elementary",0.880733944954128,0.555045871559633,0.605504587155963,0.655963302752294,2.44461224978395,0.555045871559633,3.88532110091743,2.6743119266055
"2","109th Street ES",2,1,1,0,1,0,3,1,0,1,1,1,1,11.1,"6","Elementary",0.822916666666666,0.302752293577982,0.330275229357798,0.357798165137615,1.83657103079438,0.302752293577982,2.11926605504587,1.45871559633028
"3","118th Street ES",28,0,0,0,1,1,2,1,0,2,1,0,2,0,"6","Elementary",0.85,0.302752293577982,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,2.11926605504587,1.45871559633028
"4","122nd Street Elementary School",3,0,1,1,2,0,4,1,0,2,1,0,2,6.11111111111111,"9","Elementary",0.80952380952381,0.454128440366973,0.495412844036697,0.536697247706422,1.65461789725629,0.454128440366973,3.17889908256881,2.18807339449541
"5","93rd Street ES",4,0,0,0,1,0,4,2,0,2,0,1,1,0.575,"12","Elementary",0.874074074074074,0.605504587155963,0.660550458715596,0.715596330275229,2.38539610102529,0.605504587155963,4.23853211009174,2.91743119266055
"6","Alain LeRoy Locke College Preparatory Academy",15,0,1,2,3,1,8,3,0,5,1,1,1,2.61666666666667,"12","High",0.85,0,0.660550458715596,0.715596330275229,2.15063677717841,0.605504587155963,8.47706422018349,2.91743119266055
"7","Belmont High School",5,0,0,0,2,0,3,1,0,1,1,1,1,6.875,"4","High",0.833876221498371,0,0.220183486238532,0.238532110091743,1.97127815907914,0.201834862385321,2.8256880733945,0.972477064220184
"8","Carver MS",6,0,1,1,3,0,5,1,0,3,1,1,1,3.2375,"8","Middle",0.899305555555556,0.403669724770642,0.440366972477064,0.477064220183486,2.59888302327502,0.403669724770642,4.23853211009174,1.94495412844037
"9","Clinton MS",8,1,0,1,3,0,7,3,0,4,3,2,1,6.22142857142857,"14","Middle",0.934840425531915,0.706422018348624,0.770642201834862,0.834862385321101,2.85764971810823,0.706422018348624,7.41743119266055,3.40366972477064
"10","Compton Avenue ES",9,1,0,0,2,0,3,1,0,1,0,1,0,2.3,"7","Elementary",0.72093023255814,0.353211009174312,0.385321100917431,0.417431192660551,1,0.353211009174312,2.47247706422018,1.70183486238532
"11","Gompers MS",10,1,0,0,2,0,4,1,0,2,1,1,1,3.31428571428571,"7","Middle",0.85,0.353211009174312,0.385321100917431,0.417431192660551,2.15063677717841,0.353211009174312,3.70871559633028,1.70183486238532
"12","Grape Street ES",29,1,0,0,1,0,2,2,0,2,1,0,1,1.63333333333333,"6","Elementary",0.85,0.302752293577982,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,2.11926605504587,1.45871559633028
"13","Hollenbeck MS",11,0,1,1,2,0,4,1,1,2,0,2,0,0.928571428571429,"7","Middle",0.984871406959153,0.353211009174312,0.385321100917431,0.417431192660551,3.16225692745419,0.353211009174312,3.70871559633028,1.70183486238532
"14","Jefferson HS",12,0,0,1,2,0,4,1,0,2,0,1,1,2.26666666666667,"6","High",0.87468671679198,0,0.330275229357798,0.357798165137615,2.39093721180301,0.302752293577982,4.23853211009174,1.45871559633028
"15","John Liechty Middle School",13,0,0,0,2,1,6,1,0,4,0,1,2,5.61428571428571,"7","Middle",0.954379562043796,0.353211009174312,0.385321100917431,0.417431192660551,2.98370150912644,0.353211009174312,3.70871559633028,1.70183486238532
"16","Jordan HS",14,0,0,0,1,0,5,1,1,2,1,0,1,3.38571428571429,"7","High",0.831632653061224,0,0.385321100917431,0.417431192660551,1.94462262547021,0.353211009174312,4.94495412844037,1.70183486238532
"17","Manual Arts High School",16,0,0,1,2,0,7,2,0,3,1,1,3,7.58,"10","High",0.838046272493573,0,0.55045871559633,0.596330275229358,2.01965606257457,0.504587155963303,7.06422018348624,2.43119266055046
"18","Markham MS",17,0,0,1,2,0,5,2,0,2,1,0,2,0,"7","Middle",0.722986247544204,0.353211009174312,0.385321100917431,0.417431192660551,1,0.353211009174312,3.70871559633028,1.70183486238532
"19","Mendez High School",18,0,0,0,2,1,6,2,0,2,2,1,0,1.64444444444444,"9","High",0.978313253012048,0,0.495412844036697,0.536697247706422,3.12552301508839,0.454128440366973,6.35779816513761,2.18807339449541
"20","Miguel Contreras - Business and Tourism",30,0,0,1,2,0,4,1,1,2,1,1,1,3.33333333333333,"6","High",0.85,0,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,4.23853211009174,1.45871559633028
"21","Miguel Contreras - Global Studies",31,0,1,0,1,0,3,1,0,2,1,1,0,0.216666666666667,"6","High",0.85,0,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,4.23853211009174,1.45871559633028
"22","Miguel Contreras - School of Social Justice",32,0,0,1,2,0,4,1,0,2,1,1,1,2.46666666666667,"6","High",0.85,0,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,4.23853211009174,1.45871559633028
"23","Miguel Contreras - Academic Leadership",33,0,0,0,1,1,4,1,0,1,1,1,1,8.68333333333333,"6","High",0.85,0,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,4.23853211009174,1.45871559633028
"24","Nava College Prep",19,0,1,0,2,1,5,1,0,2,1,0,1,2.56666666666667,"6","High",0.95360824742268,0,0.330275229357798,0.357798165137615,2.97891195184719,0.302752293577982,4.23853211009174,1.45871559633028
"25","Normandie Avenue ES",20,0,1,0,2,0,5,2,0,2,1,2,3,1.94166666666667,"12","Elementary",0.817518248175182,0.605504587155963,0.660550458715596,0.715596330275229,1.76573425690758,0.605504587155963,4.23853211009174,2.91743119266055
"26","NOW Academy",21,1,1,1,3,0,5,4,0,2,1,2,1,3.3,"10","Elementary",0.85,0.504587155963303,0.55045871559633,0.596330275229358,2.15063677717841,0.504587155963303,3.53211009174312,2.43119266055046
"27","Obama Global Prep",22,0,0,0,1,1,5,1,0,2,1,1,1,2.9625,"8","High",0.85,0,0.440366972477064,0.477064220183486,2.15063677717841,0.403669724770642,5.65137614678899,1.94495412844037
"28","Roosevelt HS",23,0,2,0,3,0,7,3,0,2,1,2,1,5.46666666666667,"9","High",0.98158379373849,0,0.495412844036697,0.536697247706422,3.14394910086172,0.454128440366973,6.35779816513761,2.18807339449541
"29","Sal Castro MS",24,0,0,0,1,1,4,2,0,1,1,1,0,2,"6","Middle",0.85,0.302752293577982,0.330275229357798,0.357798165137615,2.15063677717841,0.302752293577982,3.17889908256881,1.45871559633028
"30","Santee Education Complex",25,1,1,0,3,2,10,2,0,7,1,2,5,4.68333333333333,"18","High",0.911111111111111,0,0.990825688073395,1.07339449541284,2.68964376323683,0.908256880733945,12.7155963302752,4.37614678899083
"31","Stevenson MS",26,3,0,1,2,1,9,2,0,3,2,3,1,2.11333333333333,"15","Middle",0.992978936810431,0.756880733944954,0.825688073394495,0.894495412844037,3.20651764441234,0.756880733944954,7.94724770642202,3.64678899082569
"32","Virgil MS",27,1,0,0,1,0,4,1,0,3,1,1,0,2.16666666666667,"9","Middle",0.829819277108434,0.454128440366973,0.495412844036697,0.536697247706422,1.92274401540676,0.454128440366973,4.76834862385321,2.18807339449541
